Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE WOODS,"2,628,888","4,004.21",657,May-26,WESTWOOD AVENUE,Resale,Strata,372,"7,067",-,Terrace House,1,99 yrs lease commencing from 2010,22,Outside Central Region,-
CABANA,"2,622,000","2,938.57",892,Apr-26,SUNRISE TERRACE,Resale,Strata,273,"9,604",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
KENT RIDGE HILL RESIDENCES,"2,930,000","1,829.88","1,601",Apr-26,SOUTH BUONA VISTA ROAD,Resale,Strata,170,"17,235",-,Terrace House,1,99 yrs lease commencing from 2018,05,Rest of Central Region,-
CABANA,"2,900,000","3,067.74",945,Apr-26,SUNRISE TERRACE,Resale,Strata,285,"10,175",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
SELETAR VIEW,"3,320,000","3,293.78","1,008",Apr-26,SELETAR HILLS DRIVE,Resale,Strata,306,"10,850",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
SPRINGHILL,"2,480,000","3,046.21",814,Apr-26,SEMBAWANG WALK,Resale,Strata,283,"8,763",-,Terrace House,1,99 yrs lease commencing from 2002,27,Outside Central Region,01 to 05
POETS VILLAS,"3,100,000","3,692.05",840,Apr-26,TAGORE AVENUE,Resale,Strata,343,"9,038",-,Semi-Detached House,1,99 yrs lease commencing from 2010,26,Outside Central Region,-
CHARLTON 27,"4,398,000","5,952.49",739,Apr-26,SURIN AVENUE,Resale,Strata,553,"7,953",-,Terrace House,1,Freehold,19,Outside Central Region,-
LOTUS VILLE,"3,900,000","4,111.85",948,Apr-26,LORONG L TELOK KURAU,Resale,Strata,382,"10,209",-,Terrace House,1,Freehold,15,Outside Central Region,-
SUMMER GARDENS,"2,700,000","3,272.26",825,Apr-26,UPPER CHANGI ROAD EAST,Resale,Strata,304,"8,882",-,Terrace House,1,99 yrs lease commencing from 1995,16,Outside Central Region,-
CHARLTON 27,"3,968,000","4,757.69",834,Apr-26,SURIN AVENUE,Resale,Strata,442,"8,977",-,Terrace House,1,Freehold,19,Outside Central Region,-
SERANGOON GARDEN VIEW,"2,880,000","2,185.09","1,318",Apr-26,JALAN HWI YOH,Resale,Strata,203,"14,187",-,Terrace House,1,999 yrs lease commencing from 1879,19,Outside Central Region,-
HORIZON GREEN,"2,975,000","3,132.32",950,Apr-26,ANG MO KIO AVENUE 2,Resale,Strata,291,"10,223",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
CABANA,"2,750,000","2,917.04",943,Apr-26,SUNRISE TERRACE,Resale,Strata,271,"10,148",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
CABANA,"2,888,888","2,992.39",965,Apr-26,SUNRISE TERRACE,Resale,Strata,278,"10,392",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
SHAMROCK VILLAS,"5,450,000","6,135.48",888,Apr-26,NAMLY PLACE,Resale,Strata,570,"9,561",-,Detached House,1,Freehold,10,Core Central Region,-
ALANA,"2,580,000","2,755.58",936,Apr-26,SUNRISE TERRACE,Resale,Strata,256,"10,078",-,Terrace House,1,103 yrs lease commencing from 2013,28,Outside Central Region,-
THOMSON GRAND,"4,010,000","5,317.42",754,Apr-26,SIN MING WALK,Resale,Strata,494,"8,117",-,Terrace House,1,99 yrs lease commencing from 2010,20,Rest of Central Region,-
OPERA ESTATE,"3,200,000","1,894.46","1,689",Apr-26,FIDELIO STREET,Resale,Strata,176,"18,182",-,Terrace House,1,Freehold,15,Outside Central Region,-
KEW GATE,"2,380,000","2,518.78",945,Apr-26,LIMAU GARDEN,Resale,Strata,234,"10,171",-,Terrace House,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
SUMMER GARDENS,"2,758,000","3,024.68",912,Mar-26,UPPER CHANGI ROAD EAST,Resale,Strata,281,"9,815",-,Terrace House,1,99 yrs lease commencing from 1995,16,Outside Central Region,-
THE CHANCERY RESIDENCE,"3,875,000","3,799.69","1,020",Mar-26,CHANCERY LANE,Resale,Strata,353,"10,977",-,Terrace House,1,99 yrs lease commencing from 2004,11,Core Central Region,01 to 05
THE SHAUGHNESSY,"2,338,000","3,519.83",664,Mar-26,MILTONIA CLOSE,Resale,Strata,327,"7,150",-,Terrace House,1,99 yrs lease commencing from 2001,27,Outside Central Region,-
CABANA,"2,946,170","2,917.04","1,010",Mar-26,SUNRISE TERRACE,Resale,Strata,271,"10,871",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
D'MANOR,"2,700,000","2,723.29",991,Mar-26,TANAH MERAH KECHIL AVENUE,Resale,Strata,253,"10,672",-,Terrace House,1,99 yrs lease commencing from 1997,16,Outside Central Region,-
CENTURION 12,"4,150,000","3,670.52","1,131",Mar-26,BRIGHT HILL CRESCENT,Resale,Strata,341,"12,170",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
THOMSON THREE,"3,795,000","3,293.78","1,152",Mar-26,BRIGHT HILL DRIVE,Resale,Strata,306,"12,402",-,Semi-Detached House,1,99 yrs lease commencing from 2012,20,Rest of Central Region,-
THE TOP RESIDENCE,"3,238,888","2,723.29","1,189",Mar-26,SIMON PLACE,Resale,Strata,253,"12,802",-,Terrace House,1,999 yrs lease commencing from 1884,19,Outside Central Region,-
BINJAI CREST,"3,300,000","3,369.13",979,Mar-26,JALAN KAMPONG CHANTEK,Resale,Strata,313,"10,543",-,Terrace House,1,99 yrs lease commencing from 1996,21,Rest of Central Region,-
ALANA,"3,438,000","3,121.56","1,101",Mar-26,SUNRISE TERRACE,Resale,Strata,290,"11,855",-,Terrace House,1,103 yrs lease commencing from 2013,28,Outside Central Region,-
SPRINGHILL,"2,280,000","2,906.28",785,Mar-26,SEMBAWANG WALK,Resale,Strata,270,"8,444",-,Terrace House,1,99 yrs lease commencing from 2002,27,Outside Central Region,01 to 05
HILLCREST VILLA,"4,270,000","3,110.8","1,373",Mar-26,HILLCREST ROAD,Resale,Strata,289,"14,775",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
D'MANOR,"2,900,000","2,723.29","1,065",Mar-26,TANAH MERAH KECHIL AVENUE,Resale,Strata,253,"11,462",-,Semi-Detached House,1,99 yrs lease commencing from 1997,16,Outside Central Region,-
SPRINGHILL,"2,250,000","2,691",836,Mar-26,SEMBAWANG WALK,Resale,Strata,250,"9,000",-,Terrace House,1,99 yrs lease commencing from 2002,27,Outside Central Region,01 to 05
HIGH PARK RESIDENCES,"2,900,000","2,346.55","1,236",Mar-26,FERNVALE ROAD,Resale,Strata,218,"13,303",-,Semi-Detached House,1,99 yrs lease commencing from 2014,28,Outside Central Region,-
ASTON RESIDENCE,"3,385,000","4,693.1",721,Mar-26,JALAN LOYANG BESAR,Resale,Strata,436,"7,764",-,Detached House,1,946 yrs lease commencing from 1938,17,Outside Central Region,01 to 05
LA BELLE,"3,350,000","2,723.29","1,230",Feb-26,RECREATION LANE,Resale,Strata,253,"13,241",-,Terrace House,1,Freehold,19,Outside Central Region,-
ILLOURA,"5,930,000","4,553.17","1,302",Feb-26,OLD HOLLAND ROAD,Resale,Strata,423,"14,019",-,Semi-Detached House,1,Freehold,10,Core Central Region,01 to 05
THE SHAUGHNESSY,"2,475,888","3,283.02",754,Feb-26,MILTONIA CLOSE,Resale,Strata,305,"8,118",-,Terrace House,1,99 yrs lease commencing from 2001,27,Outside Central Region,-
RICH.RESIDENCE,"4,150,000","4,628.52",897,Feb-26,RICHARDS AVENUE,Resale,Strata,430,"9,651",-,Terrace House,1,Freehold,19,Outside Central Region,-
ESTE VILLA,"3,662,000","3,422.95","1,070",Feb-26,NIM ROAD,Resale,Strata,318,"11,516",-,Terrace House,1,Freehold,28,Outside Central Region,-
LYNNSVILLE 331,"3,050,000","3,046.21","1,001",Feb-26,PASIR PANJANG ROAD,Resale,Strata,283,"10,777",-,Terrace House,1,Freehold,05,Rest of Central Region,-
ESTE VILLA,"3,485,000","3,358.37","1,038",Feb-26,NIM ROAD,Resale,Strata,312,"11,170",-,Terrace House,1,Freehold,28,Outside Central Region,-
TECK GUAN VILLE,"3,500,000","2,518.78","1,390",Feb-26,UPPER EAST COAST ROAD,Resale,Strata,234,"14,957",-,Terrace House,1,Freehold,16,Outside Central Region,-
ECO,"3,600,000","3,767.4",956,Feb-26,BEDOK SOUTH AVENUE 3,Resale,Strata,350,"10,286",-,Terrace House,1,99 yrs lease commencing from 2012,16,Outside Central Region,-
HORIZON GREEN,"3,230,000","3,272.26",987,Feb-26,ANG MO KIO AVENUE 2,Resale,Strata,304,"10,625",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
BELGRAVIA VILLAS,"4,238,000","3,767.4","1,125",Feb-26,BELGRAVIA DRIVE,Resale,Strata,350,"12,109",-,Terrace House,1,Freehold,28,Outside Central Region,-
FORTUNE VIEW,"2,500,000","2,045.16","1,222",Feb-26,SOMMERVILLE WALK,Resale,Strata,190,"13,158",-,Terrace House,1,Freehold,13,Outside Central Region,-
SPRINGHILL,"2,340,000","2,906.28",805,Feb-26,SEMBAWANG WALK,Resale,Strata,270,"8,667",-,Terrace House,1,99 yrs lease commencing from 2002,27,Outside Central Region,01 to 05
MEDALLION,"3,938,000","3,875.04","1,016",Feb-26,BRADDELL ROAD,Resale,Strata,360,"10,939",-,Detached House,1,Freehold,13,Outside Central Region,-
SPRINGHILL,"2,408,888","3,013.92",799,Feb-26,SEMBAWANG WALK,Resale,Strata,280,"8,603",-,Terrace House,1,99 yrs lease commencing from 2002,27,Outside Central Region,01 to 05
MONT TIMAH,"4,288,000","4,563.94",940,Feb-26,BUKIT WAY,Resale,Strata,424,"10,113",-,Terrace House,1,99 yrs lease commencing from 2004,21,Outside Central Region,-
THE SHAUGHNESSY,"2,500,000","3,304.55",757,Feb-26,MILTONIA CLOSE,Resale,Strata,307,"8,143",-,Terrace House,1,99 yrs lease commencing from 2001,27,Outside Central Region,-
LYNWOOD EIGHT,"3,880,000","5,500.4",705,Feb-26,LYNWOOD GROVE,Resale,Strata,511,"7,593",-,Detached House,1,Freehold,13,Outside Central Region,-
GILSTEAD BROOKS,"4,828,888","3,821.22","1,264",Feb-26,GILSTEAD ROAD,Resale,Strata,355,"13,603",-,Semi-Detached House,1,Freehold,11,Core Central Region,01 to 05
EUHABITAT,"3,180,000","3,379.9",941,Feb-26,JALAN EUNOS,Resale,Strata,314,"10,127",-,Terrace House,1,99 yrs lease commencing from 2010,14,Outside Central Region,-
HILLCREST VILLA,"4,000,000","3,078.5","1,299",Feb-26,HILLCREST ROAD,Resale,Strata,286,"13,986",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
WATERCOVE,"3,600,000","3,466.01","1,039",Jan-26,WAK HASSAN DRIVE,Resale,Strata,322,"11,180",-,Terrace House,1,Freehold,27,Outside Central Region,-
WOODHAVEN,"3,190,000","3,358.37",950,Jan-26,WOODGROVE AVENUE,Resale,Strata,312,"10,224",-,Terrace House,1,99 yrs lease commencing from 2011,25,Outside Central Region,-
MARLENE VILLE,"3,140,000","2,432.66","1,291",Jan-26,MARLENE AVENUE,Resale,Strata,226,"13,894",-,Terrace House,1,Freehold,19,Outside Central Region,-
CABANA,"2,917,000","2,917.04","1,000",Jan-26,SUNRISE TERRACE,Resale,Strata,271,"10,764",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
THE WHITLEY RESIDENCES,"5,058,000","5,715.68",885,Jan-26,WHITLEY ROAD,Resale,Strata,531,"9,525",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
WATERCOVE,"3,300,000","3,487.54",946,Jan-26,WAK HASSAN DRIVE,Resale,Strata,324,"10,185",-,Terrace House,1,Freehold,27,Outside Central Region,-
THE ARECA,"2,539,999","2,518.78","1,008",Jan-26,BUNGA RAMPAI PLACE,Resale,Strata,234,"10,855",-,Terrace House,1,99 yrs lease commencing from 2000,19,Rest of Central Region,-
WESTSIDE 33,"3,150,000","2,798.64","1,126",Jan-26,WEST COAST ROAD,Resale,Strata,260,"12,115",-,Terrace House,1,Freehold,05,Outside Central Region,-
CABANA,"2,708,000","2,917.04",928,Jan-26,SUNRISE TERRACE,Resale,Strata,271,"9,993",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"2,650,000","1,528.49","1,734",Jan-26,SIMON LANE,Resale,Strata,142,"18,662",-,Terrace House,1,Freehold,19,Outside Central Region,-
THE SHAUGHNESSY,"2,438,000","3,304.55",738,Jan-26,MILTONIA CLOSE,Resale,Strata,307,"7,941",-,Terrace House,1,99 yrs lease commencing from 2001,27,Outside Central Region,-
SOMMERVILLE PARK,"5,700,000","3,067.74","1,858",Jan-26,SOMMERVILLE ESTATE ROAD,Resale,Strata,285,"20,000",-,Terrace House,1,Freehold,10,Core Central Region,-
THE SHAUGHNESSY,"2,500,000","3,283.02",761,Jan-26,MILTONIA CLOSE,Resale,Strata,305,"8,197",-,Terrace House,1,99 yrs lease commencing from 2001,27,Outside Central Region,-
ARCHIPELAGO,"3,560,000","4,402.48",809,Jan-26,BEDOK RESERVOIR ROAD,Resale,Strata,409,"8,704",-,Semi-Detached House,1,99 yrs lease commencing from 2011,16,Outside Central Region,-
POETS VILLAS,"3,170,000","4,219.49",751,Jan-26,TAGORE AVENUE,Resale,Strata,392,"8,087",-,Semi-Detached House,1,99 yrs lease commencing from 2010,26,Outside Central Region,-
BELGRAVIA VILLAS,"3,968,000","3,584.41","1,107",Jan-26,BELGRAVIA DRIVE,Resale,Strata,333,"11,916",-,Terrace House,1,Freehold,28,Outside Central Region,-
LANGE 28,"2,500,000","2,098.98","1,191",Jan-26,LANGE ROAD,Resale,Strata,195,"12,821",-,Terrace House,1,999 yrs lease commencing from 1878,19,Outside Central Region,-
LEGEND @ JANSEN,"2,850,000","2,055.92","1,386",Jan-26,JANSEN ROAD,Resale,Strata,191,"14,921",-,Terrace House,1,999 yrs lease commencing from 1876,19,Outside Central Region,-
AFFINITY AT SERANGOON,"3,325,000","2,346.55","1,417",Jan-26,SERANGOON NORTH AVENUE 1,Resale,Strata,218,"15,252",-,Terrace House,1,99 yrs lease commencing from 2018,19,Outside Central Region,-
THE SHAUGHNESSY,"2,450,000","3,455.24",709,Jan-26,MILTONIA CLOSE,Resale,Strata,321,"7,632",-,Terrace House,1,99 yrs lease commencing from 2001,27,Outside Central Region,-
PALACIO,"3,800,000","3,982.68",954,Jan-26,LORONG M TELOK KURAU,Resale,Strata,370,"10,270",-,Terrace House,1,Freehold,15,Outside Central Region,-
ARCHIPELAGO,"3,650,000","4,402.48",829,Jan-26,BEDOK RESERVOIR ROAD,Resale,Strata,409,"8,924",-,Semi-Detached House,1,99 yrs lease commencing from 2011,16,Outside Central Region,-
THE WHITLEY RESIDENCES,"5,600,000","6,124.72",914,Jan-26,WHITLEY ROAD,Resale,Strata,569,"9,842",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
SPRINGHILL,"2,000,000","2,744.82",729,Jan-26,SEMBAWANG WALK,Resale,Strata,255,"7,843",-,Terrace House,1,99 yrs lease commencing from 2002,27,Outside Central Region,01 to 05
SUMMER GARDENS,"2,770,000","3,024.68",916,Jan-26,UPPER CHANGI ROAD EAST,Resale,Strata,281,"9,858",-,Terrace House,1,99 yrs lease commencing from 1995,16,Outside Central Region,-
HILLSTA,"3,050,000","3,369.13",905,Jan-26,PHOENIX ROAD,Resale,Strata,313,"9,744",-,Terrace House,1,99 yrs lease commencing from 2011,23,Outside Central Region,-
ESTE VILLA,"3,485,000","3,390.66","1,028",Dec-25,NIM ROAD,Resale,Strata,315,"11,063",-,Terrace House,1,Freehold,28,Outside Central Region,-
MEDALLION,"4,268,000","4,434.77",962,Dec-25,BRADDELL ROAD,Resale,Strata,412,"10,359",-,Detached House,1,Freehold,13,Outside Central Region,-
THE SPRINGFIELD,"2,216,800","2,335.79",949,Dec-25,CHEMPAKA KUNING LINK,Resale,Strata,217,"10,216",-,Terrace House,1,99 yrs lease commencing from 1995,16,Outside Central Region,-
THE GREENWOOD,"3,765,000","3,326.08","1,132",Dec-25,GREENWOOD AVENUE,Resale,Strata,309,"12,184",-,Terrace House,1,103 yrs lease commencing from 2008,11,Core Central Region,-
HILLSGROVE,"3,700,000","4,542.41",815,Dec-25,HILLSIDE DRIVE,Resale,Strata,422,"8,768",-,Semi-Detached House,1,999 yrs lease commencing from 1878,19,Outside Central Region,-
CHARLTON RESIDENCES,"4,360,000","5,349.71",815,Dec-25,CHARLTON ROAD,Resale,Strata,497,"8,773",-,Terrace House,1,Freehold,19,Outside Central Region,-
HORIZON GREEN,"3,068,000","3,196.91",960,Dec-25,ANG MO KIO AVENUE 2,Resale,Strata,297,"10,330",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
SEVEN CRESCENT,"4,830,000","4,639.28","1,041",Dec-25,CRESCENT ROAD,Resale,Strata,431,"11,206",-,Detached House,1,Freehold,15,Rest of Central Region,-
THE WHITLEY RESIDENCES,"5,400,000","6,221.59",868,Dec-25,WHITLEY ROAD,Resale,Strata,578,"9,343",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
JANSEN 8,"2,930,000","3,089.27",948,Dec-25,JANSEN ROAD,Resale,Strata,287,"10,209",-,Terrace House,1,Freehold,19,Outside Central Region,-
VERDANA VILLAS,"4,350,000","4,327.13","1,005",Dec-25,GRACE WALK,Resale,Strata,402,"10,821",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
VILLAS @ GILSTEAD,"5,200,000","8,654.26",601,Dec-25,GILSTEAD ROAD,Resale,Strata,804,"6,468",-,Detached House,1,Freehold,11,Core Central Region,-
ALANA,"3,680,000","3,035.45","1,212",Dec-25,SUNRISE TERRACE,Resale,Strata,282,"13,050",-,Terrace House,1,103 yrs lease commencing from 2013,28,Outside Central Region,-
ASTON RESIDENCE,"3,350,000","4,693.1",714,Dec-25,JALAN LOYANG BESAR,Resale,Strata,436,"7,683",-,Detached House,1,946 yrs lease commencing from 1938,17,Outside Central Region,01 to 05
LANDED HOUSING DEVELOPMENT,"2,500,000","2,271.2","1,101",Dec-25,KOVAN ROAD,Resale,Strata,211,"11,848",-,Terrace House,1,Freehold,19,Outside Central Region,-
WATER TERRACE,"3,200,000","2,626.42","1,218",Dec-25,LORONG AH SOO,Resale,Strata,244,"13,115",-,Terrace House,1,Freehold,19,Outside Central Region,-
D'MANOR,"2,680,000","2,723.29",984,Dec-25,TANAH MERAH KECHIL AVENUE,Resale,Strata,253,"10,593",-,Terrace House,1,99 yrs lease commencing from 1997,16,Outside Central Region,-
PALM GROVE REGENCY,"3,220,000","2,927.81","1,100",Nov-25,PALM GROVE AVENUE,Resale,Strata,272,"11,838",-,Terrace House,1,999 yrs lease commencing from 1878,19,Outside Central Region,-
JAZZ RESIDENCES,"3,930,000","4,004.21",981,Nov-25,LIM AH PIN ROAD,Resale,Strata,372,"10,565",-,Terrace House,1,Freehold,19,Outside Central Region,-
KIARA 10,"3,935,000","5,747.98",685,Nov-25,LORONG MARZUKI,Resale,Strata,534,"7,369",-,Detached House,1,Freehold,14,Outside Central Region,-
D'MANOR,"2,850,000","3,379.9",843,Nov-25,TANAH MERAH KECHIL AVENUE,Resale,Strata,314,"9,076",-,Terrace House,1,99 yrs lease commencing from 1997,16,Outside Central Region,-
ONE SURIN,"3,800,000","3,788.93","1,003",Nov-25,SURIN AVENUE,Resale,Strata,352,"10,795",-,Terrace House,1,Freehold,19,Outside Central Region,-
CABANA,"2,700,000","2,938.57",919,Nov-25,SUNRISE TERRACE,Resale,Strata,273,"9,890",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
BELGRAVIA ACE,"4,838,888","4,058.03","1,192",Nov-25,BELGRAVIA DRIVE,Sub Sale,Strata,377,"12,835",-,Semi-Detached House,1,Freehold,28,Outside Central Region,-
D'MANOR,"3,050,000","3,379.9",902,Nov-25,TANAH MERAH KECHIL AVENUE,Resale,Strata,314,"9,713",-,Terrace House,1,99 yrs lease commencing from 1997,16,Outside Central Region,-
BELGRAVIA ACE,"4,930,000","4,058.03","1,215",Nov-25,BELGRAVIA DRIVE,Sub Sale,Strata,377,"13,077",-,Semi-Detached House,1,Freehold,28,Outside Central Region,-
THE MORRIS RESIDENCES,"3,620,000","4,262.54",849,Nov-25,PAYA LEBAR CRESCENT,Resale,Strata,396,"9,141",-,Terrace House,1,Freehold,19,Outside Central Region,-
THE WOODS,"2,650,000","4,004.21",662,Nov-25,WESTWOOD AVENUE,Resale,Strata,372,"7,124",-,Terrace House,1,99 yrs lease commencing from 2010,22,Outside Central Region,-
THE WINDSOR,"3,900,000","2,497.25","1,562",Nov-25,ONTARIO AVENUE,Resale,Strata,232,"16,810",-,Terrace House,1,Freehold,20,Rest of Central Region,01 to 05
ESTE VILLA,"4,380,000","5,403.53",811,Nov-25,NIM ROAD,Resale,Strata,502,"8,725",-,Semi-Detached House,1,Freehold,28,Outside Central Region,-
CABANA,"2,830,000","2,917.04",970,Oct-25,SUNRISE TERRACE,Resale,Strata,271,"10,443",-,Terrace House,1,103 yrs lease commencing from 2009,28,Outside Central Region,-
MONT TIMAH,"4,288,888","4,628.52",927,Oct-25,BUKIT WAY,Resale,Strata,430,"9,974",-,Terrace House,1,99 yrs lease commencing from 2004,21,Outside Central Region,-
ONE SURIN,"4,120,000","5,037.55",818,Oct-25,SURIN AVENUE,Resale,Strata,468,"8,803",-,Terrace House,1,Freehold,19,Outside Central Region,-
INFINIUM,"4,200,000","5,134.43",818,Oct-25,RICHARDS AVENUE,Resale,Strata,477,"8,805",-,Terrace House,1,Freehold,19,Outside Central Region,-
RIDGEWOOD,"4,850,000","2,852.46","1,700",Oct-25,MOUNT SINAI RISE,Resale,Strata,265,"18,302",-,Terrace House,1,999 yrs lease commencing from 1885,10,Core Central Region,-
SPRINGLEAF VILLAS,"3,300,000","3,702.82",891,Oct-25,SPRINGLEAF CRESCENT,Resale,Strata,344,"9,593",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
ALANA,"3,210,000","3,121.56","1,028",Oct-25,SUNRISE TERRACE,Resale,Strata,290,"11,069",-,Terrace House,1,103 yrs lease commencing from 2013,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,980,000","5,952.49","1,005",Oct-25,CHANCERY LANE,Resale,Strata,553,"10,814",-,Detached House,1,Freehold,11,Core Central Region,-
THE SHAUGHNESSY,"2,688,000","3,605.94",745,Oct-25,MILTONIA CLOSE,Resale,Strata,335,"8,024",-,Terrace House,1,99 yrs lease commencing from 2001,27,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"2,180,000","1,237.86","1,761",Oct-25,SIMON LANE,Resale,Strata,115,"18,957",-,Terrace House,1,Freehold,19,Outside Central Region,-
BINJAI CREST,"3,100,000","3,175.38",976,Oct-25,JALAN KAMPONG CHANTEK,Resale,Strata,295,"10,508",-,Terrace House,1,99 yrs lease commencing from 1996,21,Rest of Central Region,-
DALLA VALE,"2,900,000","3,261.49",889,Oct-25,SPRINGLEAF AVENUE,Resale,Strata,303,"9,571",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
TECK GUAN VILLE,"3,500,000","2,518.78","1,390",Oct-25,UPPER EAST COAST ROAD,Resale,Strata,234,"14,957",-,Terrace House,1,Freehold,16,Outside Central Region,-
BELGRAVIA GREEN,"4,048,888","3,466.01","1,168",Oct-25,BELGRAVIA DRIVE,Resale,Strata,322,"12,574",-,Terrace House,1,Freehold,28,Outside Central Region,-
VENTURA HEIGHTS,"4,870,000","6,469.16",753,Oct-25,JALAN LIM TAI SEE,Resale,Strata,601,"8,103",-,Detached House,1,Freehold,10,Core Central Region,-
VERDANA VILLAS,"4,300,000","4,445.53",967,Oct-25,GRACE WALK,Resale,Strata,413,"10,412",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
THE GREENWOOD,"3,570,000","3,024.68","1,180",Oct-25,GREENWOOD AVENUE,Resale,Strata,281,"12,705",-,Terrace House,1,103 yrs lease commencing from 2008,11,Core Central Region,-
HORIZON GARDENS,"2,770,000","2,798.64",990,Oct-25,ANG MO KIO AVENUE 2,Resale,Strata,260,"10,654",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
AFFINITY AT SERANGOON,"3,030,000","2,066.69","1,466",Oct-25,SERANGOON NORTH AVENUE 1,Resale,Strata,192,"15,781",-,Terrace House,1,99 yrs lease commencing from 2018,19,Outside Central Region,-
SOMMERVILLE REGENCY,"3,220,000","2,594.12","1,241",Oct-25,LORONG SELANGAT,Resale,Strata,241,"13,361",-,Terrace House,1,Freehold,13,Outside Central Region,-
D'MANOR,"2,588,000","2,723.29",950,Oct-25,TANAH MERAH KECHIL AVENUE,Resale,Strata,253,"10,229",-,Terrace House,1,99 yrs lease commencing from 1997,16,Outside Central Region,-
HORIZON GARDENS,"2,858,888","3,035.45",942,Oct-25,ANG MO KIO AVENUE 2,Resale,Strata,282,"10,138",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
EIGHT @ EAST COAST,"3,300,000","2,970.86","1,111",Oct-25,EAST COAST AVENUE,Resale,Strata,276,"11,957",-,Terrace House,1,Freehold,15,Outside Central Region,-
AFFINITY AT SERANGOON,"3,150,000","2,303.5","1,367",Oct-25,SERANGOON NORTH AVENUE 1,Resale,Strata,214,"14,720",-,Terrace House,1,99 yrs lease commencing from 2018,19,Outside Central Region,-
HILLCREST VILLA,"4,210,000","3,153.85","1,335",Sep-25,HILLCREST ROAD,Resale,Strata,293,"14,369",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
DALLA VALE,"3,340,000","3,261.49","1,024",Sep-25,SPRINGLEAF AVENUE,Resale,Strata,303,"11,023",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
HORIZON GREEN,"3,300,000","3,616.7",912,Sep-25,ANG MO KIO AVENUE 2,Resale,Strata,336,"9,821",-,Terrace House,1,99 yrs lease commencing from 1995,20,Outside Central Region,-
THE MORRIS RESIDENCES,"3,558,000","3,831.98",929,Sep-25,PAYA LEBAR CRESCENT,Resale,Strata,356,"9,994",-,Terrace House,1,Freehold,19,Outside Central Region,-
EUHABITAT,"3,100,000","3,379.9",917,Sep-25,JALAN EUNOS,Resale,Strata,314,"9,873",-,Terrace House,1,99 yrs lease commencing from 2010,14,Outside Central Region,-
DUNSFOLD 18,"4,580,000","4,617.76",992,Sep-25,DUNSFOLD DRIVE,Resale,Strata,429,"10,676",-,Detached House,1,Freehold,13,Outside Central Region,-
AFFINITY AT SERANGOON,"3,400,000","2,335.79","1,456",Sep-25,SERANGOON NORTH AVENUE 1,Resale,Strata,217,"15,668",-,Terrace House,1,99 yrs lease commencing from 2018,19,Outside Central Region,-
ALANA,"3,576,823","3,121.56","1,146",Sep-25,SUNRISE TERRACE,Resale,Strata,290,"12,334",-,Terrace House,1,103 yrs lease commencing from 2013,28,Outside Central Region,-
D'MANOR,"2,661,888","2,723.29",977,Sep-25,TANAH MERAH KECHIL AVENUE,Resale,Strata,253,"10,521",-,Terrace House,1,99 yrs lease commencing from 1997,16,Outside Central Region,-
EIGHT RIVERSUITES,"2,750,000","2,960.1",929,Sep-25,WHAMPOA EAST,Resale,Strata,275,"10,000",-,Terrace House,1,99 yrs lease commencing from 2011,12,Rest of Central Region,-
PALMS @ SIXTH AVENUE,"5,400,000","4,682.34","1,153",Sep-25,SIXTH AVENUE,Resale,Strata,435,"12,414",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
